,Agrocapi,Agrostis_spp,Anthodor,Aulapalu,Callvulg,Cardprat,Carenigr,Carepanic,Carepilu,Carex_spp,Cerafont,Cirspalu,Cynocris,Desccesp,Descflex,Dricscop,Durodili,Empenigr,Erictetr,Erioangu,Eriovagi,Festovin,Festrubr,Galisaxa,Holclana,Hylosple,Hylosple.1,Hypnjutu,Junceffu,Juncsqua,Luzumulti,Luzusylv,Molicaer,Nardstri,Plagiotundu,Pleuschr,Poaannu,Poaprat,Poatriv,Polycomm,Poteerec,Pseupuru,Ranurepe,Rhytlore,Rhytsqua,Rumeacetosa,Rumeacetosella,Sphacapi,Sphafall,sphapalu,Stelalsi,Taraxacu,Thuitama,Triccesp,Trifrepe,Vaccmyrt
1,2.0618556701,3.0927835052,11.3402061856,0,0,0,0,5.1546391753,6.1855670103,0,0,2.0618556701,1.0309278351,3.0927835052,0,0,0,0,0,0,0,2.0618556701,8.2474226804,0,6.1855670103,0,0,0,22.6804123711,0,0,0,0,14.4329896907,0,0,0,0,1.0309278351,0,1.0309278351,0,0,0,7.2164948454,0,0,0,0,0,0,0,0,0,3.0927835052,0
2,4.2105263158,0,3.1578947368,0,0,0,0,0,0,0,0,1.0526315789,0,6.3157894737,0,0,0,0,0,0,0,0,4.2105263158,0,4.2105263158,23.1578947368,0,0,27.3684210526,0,0,0,0,0,0,0,0,8.4210526316,15.7894736842,0,0,0,1.0526315789,0,0,0,0,0,0,0,0,0,0,0,1.0526315789,0
3,2.0408163265,11.2244897959,6.1224489796,0,0,0,2.0408163265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0408163265,0,1.0204081633,0,0,0,60.2040816327,0,0,0,3.0612244898,0,0,2.0408163265,0,0,0,6.1224489796,0,0,0,0,3.0612244898,1.0204081633,0,0,0,0,0,0,0,0,0,0
4,1.0752688172,0,1.0752688172,0,0,0,13.9784946237,0,0,0,0,0,0,0,11.8279569892,0,0,0,0,0,0,1.0752688172,0,0,0,0,0,0,0,0,0,0,63.4408602151,0,0,0,0,0,0,4.3010752688,1.0752688172,0,0,0,2.1505376344,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,2.0202020202,0,1.0101010101,0,0,0,0,0,0,0,7.0707070707,0,0,0,0,0,0,6.0606060606,0,0,0,0,0,2.0202020202,0,2.0202020202,0,0,60.6060606061,0,0,9.0909090909,0,0,0,6.0606060606,1.0101010101,0,0,0,1.0101010101,0,0,0,0,1.0101010101,0,0,0,0,0,1.0101010101
6,0,0,0,0,0,0,2.0202020202,0,0,0,0,0,0,0,2.0202020202,0,0,0,0,1.0101010101,35.3535353535,0,0,0,0,0,0,0,0,0,0,0,46.4646464646,0,0,0,0,0,0,13.1313131313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,8.1632653061,0,0,0,0,0,0,0,0,0,1.0204081633,0,0,0,0,14.2857142857,35.7142857143,0,0,0,0,0,0,0,0,0,0,0,31.6326530612,0,0,0,0,0,0,8.1632653061,1.0204081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,7,0,0,2,0,0,0,0,0,0,0,2,0,0,59,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
9,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,0,11.1111111111,3.0303030303,0,0,0,4.0404040404,0,0,0,0,0,0,0,10.101010101,0,0,0,0,0,0,9.0909090909,0,2.0202020202,0,0,0,0,0,0,0,0,0,49.4949494949,0,4.0404040404,0,0,0,0,5.0505050505,0,0,0,2.0202020202,0,0,0,0,0,0,0,0,0,0,0
11,0,1.0101010101,9.0909090909,0,6.0606060606,0,29.2929292929,0,0,0,0,0,0,0,11.1111111111,0,0,0,0,0,0,16.1616161616,0,0,0,0,0,0,0,0,0,0,0,18.1818181818,0,1.0101010101,0,0,0,0,7.0707070707,0,0,0,1.0101010101,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13,3.0927835052,7.2164948454,10.3092783505,0,0,0,0,0,0,0,0,0,1.0309278351,0,2.0618556701,0,0,0,0,0,0,0,0,0,1.0309278351,0,0,0,52.5773195876,0,0,0,0,11.3402061856,0,0,0,0,3.0927835052,0,6.1855670103,0,0,0,2.0618556701,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1.1235955056,1.1235955056,5.6179775281,0,24.7191011236,0,0,0,0,0,0,0,0,0,0,0,0,10.1123595506,6.7415730337,6.7415730337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.3258426966,0,0,0,0,4.4943820225,0,0,0,0,0,0,0,0,0,0,0
16,0,0,7.0707070707,0,5.0505050505,0,29.2929292929,0,0,0,0,0,0,0,4.0404040404,0,0,0,0,0,17.1717171717,4.0404040404,0,0,0,0,0,1.0101010101,0,5.0505050505,0,0,9.0909090909,0,0,0,0,0,0,13.1313131313,5.0505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
18,65,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0
19,23,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,0
20,0,0,0,0,40.206185567,0,0,0,0,0,0,0,0,0,4.1237113402,1.0309278351,0,0,0,0,46.3917525773,0,0,0,0,0,0,0,0,0,0,0,3.0927835052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1546391753,0,0
21,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,1,0,0,0,9,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,30,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24,0,0,0,0,55,0,0,0,0,0,0,0,0,0,8,0,0,0,1,10,11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
25,8,0,5,0,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,34,10,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,4.0816326531,3.0612244898,2.0408163265,0,0,0,4.0816326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4285714286,0,0,0,0,1.0204081633,15.306122449,0,0,25.5102040816,18.3673469388,0,0,0,0,0,0,1.0204081633,0,0,0,4.0816326531,0,0,0,0,0,0,0,0,0,0,0
27,0,0,4.0404040404,0,28.2828282828,0,6.0606060606,0,0,0,0,0,0,0,29.2929292929,0,0,0,0,0,5.0505050505,4.0404040404,0,4.0404040404,0,0,1.0101010101,1.0101010101,0,0,0,0,0,6.0606060606,0,0,0,0,0,0,1.0101010101,0,0,0,10.101010101,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,17.7083333333,0,33.3333333333,0,0,0,0,0,0,0,5.2083333333,0,0,0,0,0,36.4583333333,1.0416666667,0,2.0833333333,0,0,0,0,0,0,2.0833333333,0,0,0,0,0,0,0,0,1.0416666667,0,0,0,0,0,0,0,0,0,1.0416666667,0,0,0,0,0,0
29,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
